"Splunk_Role","splunk_server",app,sharing,stanza,attribute,title,transform,overwrite,value,author,updated
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,"LOOKUP-object_category_for_splunk_access","audittrail : LOOKUP-object_category_for_splunk_access","splunk_object_category_lookup",1,"splunk_object_category_lookup vendor_object_category OUTPUT object_category",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,"LOOKUP-src_for_splunk_access","audittrail : LOOKUP-src_for_splunk_access","splunk_src_lookup",0,"splunk_src_lookup app OUTPUTNEW src",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"aix_secure","LOOKUP-action_for_osx_secure","aix_secure : LOOKUP-action_for_osx_secure","nix_action_lookup",0,"nix_action_lookup vendor_action OUTPUTNEW action",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"fs_notification","LOOKUP-action_for_fs_notification","fs_notification : LOOKUP-action_for_fs_notification","nix_endpoint_change_vendor_action_lookup",1,"nix_endpoint_change_vendor_action_lookup vendor_action OUTPUT action",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"fs_notification","LOOKUP-change_type_for_fs_notification","fs_notification : LOOKUP-change_type_for_fs_notification","nix_fs_notification_change_type_lookup",0,"nix_fs_notification_change_type_lookup sourcetype OUTPUTNEW change_type",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"fs_notification","LOOKUP-object_category_for_fs_notification","fs_notification : LOOKUP-object_category_for_fs_notification","nix_endpoint_change_object_category_lookup",1,"nix_endpoint_change_object_category_lookup object as vendor_object_category OUTPUT object_category",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"fs_notification","LOOKUP-object_status_for_fs_notification","fs_notification : LOOKUP-object_status_for_fs_notification","nix_endpoint_change_status_lookup",0,"nix_endpoint_change_status_lookup vendor_status as sourcetype OUTPUTNEW status",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"linux_secure","LOOKUP-action_for_linux_secure","linux_secure : LOOKUP-action_for_linux_secure","nix_action_lookup",0,"nix_action_lookup vendor_action OUTPUTNEW action",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"osx_secure","LOOKUP-action_for_osx_secure","osx_secure : LOOKUP-action_for_osx_secure","nix_action_lookup",0,"nix_action_lookup vendor_action OUTPUTNEW action",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):Update","LOOKUP-status_for_update","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):Update : LOOKUP-status_for_update","nix_da_update_status_lookup",0,"nix_da_update_status_lookup sourcetype OUTPUTNEW status",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):Version","LOOKUP-range_for_nix_version","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):Version : LOOKUP-range_for_nix_version","nix_da_version_range_lookup",0,"nix_da_version_range_lookup sourcetype OUTPUTNEW range",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,"source::...(Linux|Unix):Service","LOOKUP-StartMode_for_linux_service","source::...(Linux|Unix):Service : LOOKUP-StartMode_for_linux_service","nix_linux_service_startmode_lookup",0,"nix_linux_service_startmode_lookup runlevel0,runlevel1,runlevel2,runlevel3,runlevel4,runlevel5,runlevel6 OUTPUTNEW StartMode",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_nix",global,syslog,"LOOKUP-action_for_syslog","syslog : LOOKUP-action_for_syslog","nix_action_lookup",0,"nix_action_lookup vendor_action OUTPUTNEW action",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:dhcp","LOOKUP-app_proto","stream:dhcp : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:dns","LOOKUP-app_proto","stream:dns : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:http","LOOKUP-app_proto","stream:http : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:imap","LOOKUP-app_proto","stream:imap : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:mysql","LOOKUP-app_proto","stream:mysql : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:pop3","LOOKUP-app_proto","stream:pop3 : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:postgres","LOOKUP-app_proto","stream:postgres : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:smtp","LOOKUP-app_proto","stream:smtp : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:tds","LOOKUP-app_proto","stream:tds : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_stream",global,"stream:tns","LOOKUP-app_proto","stream:tns : LOOKUP-app_proto","stream_app_lookup",1,"stream_app_lookup sourcetype OUTPUT app,protocol",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","analysis_of_splunkbase_apps",global,splunkapps,"LOOKUP-splunk_apps_products","splunkapps : LOOKUP-splunk_apps_products","splunk_apps_products",0,"splunk_apps_products uid AS uid OUTPUTNEW product AS product",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL",nmon,global,"nmon_config","LOOKUP-nmon_frameID_mapping","nmon_config : LOOKUP-nmon_frameID_mapping","nmon_frameID_mapping",0,"nmon_frameID_mapping serialnum AS serial, host as host OUTPUTNEW frameID AS frameID, host_description as host_description",ADMIN,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL",nmon,global,"nmon_data","LOOKUP-OStype","nmon_data : LOOKUP-OStype","nmon_inventory",0,"nmon_inventory hostname AS hostname OUTPUTNEW OStype AS OStype",ADMIN,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL",nmon,global,"nmon_data","LOOKUP-data_asset_description","nmon_data : LOOKUP-data_asset_description","nmon_data_asset_description",,"nmon_data_asset_description type AS main_type",ADMIN,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL",nmon,global,"nmon_data","LOOKUP-nmon_frameID_mapping","nmon_data : LOOKUP-nmon_frameID_mapping","nmon_frameID_mapping",0,"nmon_frameID_mapping serialnum AS serialnum, host as host OUTPUTNEW frameID AS frameID, host_description as host_description",ADMIN,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL",nmon,global,"nmon_processing","LOOKUP-nmon_frameID_mapping","nmon_processing : LOOKUP-nmon_frameID_mapping","nmon_frameID_mapping",0,"nmon_frameID_mapping serialnum AS serial, host as host OUTPUTNEW frameID AS frameID, host_description as host_description",ADMIN,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_app_addon-builder",global,"splunk:tabuilder:validation","LOOKUP-validation-category-mapping","splunk:tabuilder:validation : LOOKUP-validation-category-mapping","validation_category_name",1,"validation_category_name category OUTPUT display_category",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,audittrail,"LOOKUP-dmc_add_instance_info","audittrail : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,"http_event_collector_metrics","LOOKUP-dmc_add_instance_info","http_event_collector_metrics : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,kvstore,"LOOKUP-dmc_add_instance_info","kvstore : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,mongod,"LOOKUP-dmc_add_instance_info","mongod : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,scheduler,"LOOKUP-dmc_add_instance_info","scheduler : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,"splunk_disk_objects","LOOKUP-dmc_add_instance_info","splunk_disk_objects : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,"splunk_resource_usage","LOOKUP-dmc_add_instance_info","splunk_resource_usage : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,splunkd,"LOOKUP-dmc_add_instance_info","splunkd : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,"splunkd_access","LOOKUP-dmc_add_instance_info","splunkd_access : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,"splunkd_conf","LOOKUP-dmc_add_instance_info","splunkd_conf : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","splunk_monitoring_console",global,"splunkd_remote_searches","LOOKUP-dmc_add_instance_info","splunkd_remote_searches : LOOKUP-dmc_add_instance_info","dmc_assets",0,"dmc_assets host OUTPUTNEW machine search_group",SYSTEM,"1577664920.000000"
